name,brand,price,deal_price,final_price,description,image_thumbnail,sku,seller,stock,product_rating,fetched_at
Maxell Laptop Mic - Black,,13000,,,[object Object],/K/Q/57289_1757437240.jpg,6838960,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 1}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 10:17:40
Apple 2024 Magic Mouse - Multi-touch Surface - Usb-c - Black,,260000,,,[object Object],/Y/B/57289_1756806101.jpg,6832811,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 5}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 10:17:40
G502 X Lightspeed Wireless Gaming Mouse,Logitech,280000,,,[object Object],/G/K/57289_1755698234.jpg,6821997,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 5}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 10:17:40
2024 Magic Mouse - Multi-touch Surface - Usb-c - White,,190000,,,[object Object],/C/Q/57289_1754927194.jpg,6815170,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 2}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 10:17:40
Hp K200 Wired Keyboard,,29900,,,[object Object],/R/I/57289_1754131802.jpg,6807059,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 19}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 10:17:40
Hp Wireless Keyboard And Mouse Combo - Cs10,,52500,,,[object Object],/A/J/57289_1754131134.jpg,6807055,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 20}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 10:17:40
 Atheris Wireless Mouse,Razer,255000,,,[object Object],/B/V/57289_1753720934.jpg,6804247,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 20}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 10:17:40
 Naga Pro Wireless Gaming Mouse - Black,Razer,340000,,,[object Object],/Q/U/57289_1753720648.jpg,6804244,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 20}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 10:17:40
Sennheiser Pro Audio Portable Lavalier Wireless Set- Aw+ ew 512p G4,,550000,,,[object Object],/R/S/57289_1753451090.jpg,6802339,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 20}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 10:17:40
Apple Magic Mouse - Wireless / Bluetooth /  Rechargeable ,Apple,245000,,,[object Object],/A/Q/57289_1753195591.jpg,6799336,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 20}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 10:17:40
Porodo Gaming 2k 30fps Auto Focus Webcam With In-built Mic And Tripod,,95000,,,[object Object],/W/J/57289_1751631021.jpg,6785154,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 20}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 10:17:40
